ALDX,Aldeyra Therapeu Cmn,8.17,7.6,7.7,124800,0.25,3.36
ALGN,Align Technology I,94.13,92.86,93.09,505200,-1.04,1.1
ALGT,Allegiant Travel Com,134.6,130,130.2,103900,-3.5,2.6
ALIM,Alimera Sciences Inc,1.64,1.58,1.58,161100,-0.04,2.47
ALJJ,Alj Regional Hold Cmn,4.72,4.54,4.57,24500,-0.21,4.39
ALKS,Alkermes Plc,49.67,48.33,48.58,643900,-1,2.02
ALLT,Allot Communications,5.18,5.09,5.13,38400,-0.02,0.39
ALNY,Alnylam Pharmaceut,77.25,75.25,76,382300,0.43,0.57
ALOG,Analogic Cp,92.35,90.38,90.89,145800,-1.31,1.42
ALOT,Astronova Inc,15,14.99,14.99,1300,-0.13,0.86
ALQA,Alliqua Biomedical,0.82,0.77,0.79,105000,0,0
ALRM,Alarm.Com Cmn,27.34,26.77,27.13,152200,0.18,0.67
ALSK,Alaska Commun Sys,1.74,1.68,1.69,66300,-0.06,3.43
ALTY,Global X Sprdv ETF,15.94,15.74,15.77,26000,0,0
ALXN,Alexion Pharm Inc,127.6,124.2,124.5,1484700,-2.7,2.13
AMAG,Amag Pharmaceuticals,24.49,23.98,24.07,344200,-0.17,0.7
AMAT,Applied Materials,29.62,29.22,29.35,12610200,-0.31,1.05
AMBA,Ambarella Inc,67.62,65.21,66.32,826500,-0.73,1.09
AMBC,Ambac Financial Grp,18.81,18.01,18.02,175200,-0.72,3.84
AMBCW,Ambac Financial Grp,8.73,8.68,8.68,500,0.15,1.76
AMCC,Applied Micro Crcts,6.91,6.8,6.82,191300,-0.09,1.3
AMCN,Airmedia Group Inc,3.53,3.42,3.47,214800,-0.07,1.98
AMCX,Amc Networks Cl A,52.65,51.94,52.01,619200,-0.37,0.71
AMD,Adv Micro Devices,6.54,6.31,6.32,29872400,-0.23,3.51
AMDA,Amedica Corporation,0.99,0.93,0.94,404900,-0.02,2.08
AMED,Amedisys Inc,48.59,47.71,47.95,259700,-0.77,1.58
AMGN,Amgen,174.5,172.8,173.5,1798400,-1.3,0.73
AMIC,Amer Independ Corp,24.85,24.7,24.72,9000,-0.05,0.2
